Pays,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,525,575,2410,6015,6600,11885,11685,10000,16005,22585,16860
Guinea,2450,2190,2040,2645,4130,7985,7045,4690,5250,6200,10545
Türkiye,1685,1400,1015,1010,1290,2110,4110,3095,4965,10005,9795
Côte d’Ivoire,970,950,1270,1675,3620,6465,6725,4635,6210,5915,9620
Bangladesh,3070,2655,3345,2440,2620,4045,6705,4615,6200,10555,9525
Dem. Rep. of the Congo,5265,5195,3800,3385,3805,4225,4545,3120,2750,6760,8940
Georgia,2455,1370,1085,870,1895,7405,7985,1805,4580,8905,6125
Sudan,840,1950,5315,6085,4680,2980,2120,1355,2210,2520,5610
Russia,4685,3620,2865,1775,2215,3285,3340,1600,970,2600,4125
Sri Lanka,2325,2165,1405,1275,1305,1750,1970,1020,905,1995,3550
Ukraine,120,1395,1625,525,530,755,1175,2110,2240,1770,3430
Pakistan,1735,2135,1805,1835,1500,3070,4610,3555,3730,3765,3275
Haiti,1475,1860,3185,5290,5600,2245,4720,2830,2620,1885,2935
Syria,1305,2830,4625,4765,4695,3540,3010,1730,1815,2150,2690
Albania,5015,2845,3220,6945,11425,8555,8510,2010,4885,5690,2655
Other countries,26555,25710,31560,30255,36055,56280,60035,33565,38475,44305,45530
Total,60475,58845,70570,76790,91965,126580,138290,81735,103810,137605,145210
