country,sex,year,value
Switzerland,Male,2024,7.878
Switzerland,Female,2024,5.888
Switzerland,Male,2023,6.831
Switzerland,Female,2023,6.377
Switzerland,Male,2022,9.607
Switzerland,Female,2022,9.005
Switzerland,Male,2021,10.287
Switzerland,Female,2021,8.831
Switzerland,Male,2020,10.031
Switzerland,Female,2020,7.141
Germany,Male,2024,7.229
Germany,Female,2024,7.69
Germany,Male,2023,7.508
Germany,Female,2023,7.871
Germany,Male,2022,6.558
Germany,Female,2022,7.931
Germany,Male,2021,7.566
Germany,Female,2021,8.191
Germany,Male,2020,6.804
Germany,Female,2020,7.821
Finland,Male,2024,8.963
Finland,Female,2024,7.38
Finland,Male,2023,10.389
Finland,Female,2023,7.274
Finland,Male,2022,8.851
Finland,Female,2022,7.276
Finland,Male,2021,9.754
Finland,Female,2021,7.232
Finland,Male,2020,10.257
Finland,Female,2020,8.456
Greece,Male,2024,10.781
Greece,Female,2024,10.075
Greece,Male,2023,12.63
Greece,Female,2023,12.378
Greece,Male,2022,10.659
Greece,Female,2022,12.053
Greece,Male,2021,12.071
Greece,Female,2021,12.025
Greece,Male,2020,13.416
Greece,Female,2020,13.642
Malta,Male,2024,7.641
Malta,Female,2024,7.616
Malta,Male,2023,8.006
Malta,Female,2023,7.738
Malta,Male,2022,6.097
Malta,Female,2022,6.269
Malta,Male,2021,11.506
Malta,Female,2021,11.731
Malta,Male,2020,11.003
Malta,Female,2020,8.032
